App,Total_Review,Avg_Polarity,Avg_Subjectivity,Avg_Sentiment_Score,Negative_Review,Neutral_Review,Positive_Review
BBVA Spain,33,0.515085705540251,0.5946316246884429,0.44045757575757577,3,3,27
BBW Dating & Curvy Singles Chat- LargeFriends,75,0.18276632996632997,0.45742092352092356,0.32289066666666666,16,14,45
BBW Dating & Plus Size Chat,111,0.13124668499668501,0.49101675539175543,0.14154324324324324,27,15,69
BBWCupid - BBW Dating App,39,0.12691173304809666,0.47169284419284424,0.17387179487179485,9,9,21
BELONG Beating Cancer Together,38,0.35058287290195184,0.4141634626338574,0.4575368421052632,2,8,28
BEST CAR SOUNDS,37,0.3076986076986077,0.5282896532896533,0.33494594594594596,3,9,25
BET NOW - Watch Shows,108,0.0510880756974507,0.40812905844155845,0.04212222222222222,30,39,39
BEYBLADE BURST app,36,-0.01392739590656258,0.4690503362378362,0.31703888888888887,17,3,16
BIG Launcher,40,0.18498650308025308,0.41012519511738266,0.454255,5,9,26
BLK - Swipe. Match. Chat.,40,0.30767763519549235,0.5519399908953481,0.28287,4,9,27
BZWBK24 mobile,23,0.3268825522303783,0.5547810559006211,0.26506956521739133,4,5,14
BaBe - Baca Berita,15,0.18680555555555553,0.4090277777777778,0.10193333333333335,1,4,10
BaBe Lite - Baca Berita Hemat Kuota,13,0.31442307692307697,0.43333333333333335,0.29384615384615387,1,4,8
BaBe+ - Berita Indonesia,20,0.365625,0.4479166666666667,0.25317,2,5,13
Babbel – Learn Languages,48,0.3916361531986532,0.4983976758195508,0.46038958333333335,3,11,34
Babbel – Learn Spanish,39,0.3093640734265734,0.5447092028342028,0.48154871794871795,5,1,33
Baby ABC in box! Kids alphabet games for toddlers!,37,0.28577512577512576,0.4947191022191022,0.46984054054054053,6,2,29
Baby Monitor,35,0.2742230725623583,0.49213548752834463,0.4386514285714286,4,4,27
Baby Name Together,37,0.2859856284856285,0.49526973401973406,0.3457810810810811,6,6,25
Baby Panda Care,50,0.17201893939393936,0.5404242424242424,0.369334,10,8,32
Baby Panda Learns Shapes,37,0.2475370012870013,0.3571943371943372,0.3884081081081081,2,16,19
Baby Panda Musical Genius,37,0.2277602521352521,0.48696199446199445,0.2787972972972973,4,11,22
Baby Panda’s Juice Shop,3,0.10833333333333328,0.4916666666666667,0.5116333333333333,0,0,3
Baby Tiger Care - My Cute Virtual Pet Friend,9,0.19518518518518518,0.36296296296296293,0.32595555555555555,0,4,5
Baby puzzles,34,0.07949984276689925,0.5072541012452412,0.24248529411764708,14,4,16
"Baca- Berita Terbaru, Informasi, Gosip dan Politik",33,0.2440754132231405,0.48291191132100225,0.19016363636363637,3,9,21
Backgrounds (HD Wallpapers),30,0.26443175805675806,0.599070847362514,0.48641,6,1,23
Backgrounds HD (Wallpapers),30,0.35387590187590184,0.5209487734487734,0.3182933333333333,3,9,18
BaconReader for Reddit,33,0.2280863229009162,0.4700780805894442,0.23229090909090908,8,1,24
Bad Piggies,77,0.007940659648845768,0.5389492408533662,0.33808181818181815,37,3,37
Badoo - Free Chat & Dating App,120,0.1284891774891775,0.41610276875901875,0.12156583333333335,27,35,58
Bagan - Myanmar Keyboard,32,0.29119916907636634,0.4197362012987013,0.22973437500000002,2,9,21
Banco Itaú,40,0.07654520652958152,0.3643950216450217,0.0451025,9,13,18
Banco do Brasil,40,0.22347267316017314,0.47966436688311687,0.212975,7,11,22
Bancomer móvil,40,-0.07185252074314573,0.3070278550814265,-0.1623175,21,8,11
Banfield Pet Health Tracker,80,0.08254051373973248,0.49524039849039847,0.1512075,28,6,46
Bangla Newspaper – Prothom Alo,38,0.1693530701754386,0.4352339181286549,0.11752894736842105,7,11,20
Banjo,39,0.23085021228771227,0.46412157310875257,0.342548717948718,6,6,27
Bank of America Mobile Banking,32,0.1800268291975881,0.4850038651824366,0.3957875,6,4,22
BankMobile Vibe App,23,0.35345457682414205,0.5646099190664409,0.571895652173913,2,2,19
Banorte Movil,26,0.116998667998668,0.5673119519369519,0.20726538461538463,9,0,17
Banque Populaire,18,0.032322092452300805,0.32675855780022445,-0.0958611111111111,8,5,5
Barbie Life™,19,0.16261297182349813,0.3933479532163743,0.4251421052631579,2,6,11
Barbie Magical Fashion,31,0.08473276471512356,0.5782083847305621,0.5300516129032258,13,0,18
Barbie™ Fashion Closet,77,0.048600288600288595,0.47649350649350647,0.32504025974025974,25,9,43
Barclays US for Android,40,0.017928003998316493,0.41255418771043767,-0.0399325,15,10,15
Barcode Scanner,37,0.38627013377013375,0.4835820560820561,0.47062162162162163,0,6,31
Baritastic - Bariatric Tracker,40,0.41827673686267436,0.571031492647564,0.642695,1,5,34
Baseball Boy!,40,0.012272397197141398,0.4744802114272896,0.280815,20,0,20
Basketball FRVR - Shoot the Hoop and Slam Dunk!,35,0.1024642857142857,0.4600272108843538,0.3692142857142857,12,7,16
Basketball Stars,89,0.013905112685626995,0.4871262763528012,0.13211797752808987,41,4,44
Bathroom Decorating Ideas,40,0.36267578125,0.5115454545454545,0.288385,6,9,25
Battlelands Royale,89,0.040406194848324126,0.5142119465462056,0.35367865168539325,34,2,53
Be A Legend: Soccer,98,-0.09925060033337468,0.4743972818025296,0.07157448979591838,59,6,33
BeSoccer - Soccer Live Score,36,0.3567684784351451,0.40465388007054676,0.4446611111111111,2,9,25
BeWild Free Dating & Chat App,38,0.17037221276530484,0.5180704969575584,0.5138736842105264,6,1,31
Beautiful Design Birthday Cake,36,0.2703075396825396,0.519702380952381,0.2962694444444444,5,10,21
Beautiful Widgets Free,40,0.013460700757575748,0.5222924031986531,-0.07437999999999999,17,3,20
Beautiful Widgets Pro,37,0.17941837105155556,0.5016910966315729,0.28985945945945946,5,2,30
Beauty Camera - Selfie Camera,36,0.19999366181657846,0.4508201058201058,0.38031944444444443,8,5,23
Beauty Makeup Snappy Collage Photo Editor - Lidow,4,0.1532142857142857,0.4769047619047619,0.47135,1,1,2
BeautyPlus - Easy Photo Editor & Selfie Camera,4,0.3,0.30000000000000004,0.32415,0,2,2
Bed Time Fan - White Noise Sleep Sounds,1,0.78125,0.6,0.7955,0,0,1
Best Car Wallpapers,3,-0.13333333333333328,0.48888888888888893,-0.03326666666666667,1,1,1
Best Fiends - Free Puzzle Game,1,0.3249999999999999,0.5375,0.9698,0,0,1
Best Ovulation Tracker Fertility Calendar App Glow,1,0.5953125,0.5416666666666666,0.6892,0,0,1
"Best Wallpapers Backgrounds(100,000+ 4K HD)",10,0.30042929292929293,0.38994949494949493,0.3971,0,4,6
Best Wallpapers QHD,35,0.4722514455782313,0.6184401360544217,0.5704742857142857,4,1,30
"BestCam Selfie-selfie, beauty camera, photo editor",99,-0.03798581048581047,0.4216201699535033,-0.04854040404040404,32,39,28
BetterMe: Weight Loss Workouts,37,0.29227532274407275,0.49825571575571576,0.5221351351351351,6,4,27
Betterment,40,0.14325219763259925,0.5105452301501409,0.2249825,8,7,25
BeyondMenu Food Delivery,38,0.4087426900584795,0.6176803118908382,0.5194973684210527,2,1,35
BeyondPod Podcast Manager,40,0.1124582652900175,0.5457182367896654,0.1034225,7,1,32
Bible,97,0.36349543739121704,0.5336252466987003,0.6215659793814433,7,9,81
Big Days - Events Countdown,36,0.28541372721928276,0.4996270576131687,0.4674361111111111,5,7,24
"BigOven Recipes, Meal Planner, Grocery List & More",40,0.3282224025974026,0.49978214060245313,0.61037,3,3,34
"BiggerCity: Chat for gay bears, chubs & chasers",40,0.21167546399141793,0.5781575964057872,0.41366500000000006,10,3,27
Bike Computer - GPS Cycling Tracker,39,0.28197840354090353,0.47691442816442814,0.3616641025641026,3,9,27
Binaural Beats Meditation,40,0.35351810515873017,0.5643201884920634,0.39237,4,7,29
Binaural Beats Therapy,39,0.2832687528520862,0.4587343135259802,0.474025641025641,3,8,28
BioLife Plasma Services,39,0.15480616605616607,0.4577038503824218,0.2484230769230769,9,6,24
Birdays – Birthday reminder,37,0.35544993857493856,0.5550068737568737,0.5478162162162162,1,3,33
Birds Sounds Ringtones & Wallpapers,37,0.3507882882882883,0.4158108108108108,0.4346297297297297,1,9,27
Black People Meet Singles Date,28,0.24934125871422946,0.5053452310676337,0.3240321428571429,4,5,19
Block Puzzle,154,0.035221354404960235,0.5367871126316935,0.38794025974025975,71,0,83
Block Puzzle Classic Legend !,72,0.15090698653198653,0.5360595538720538,0.37900555555555554,22,4,46
Blogaway for Android (Blogger),36,0.19725448933782266,0.3590662578162578,0.34526666666666667,4,13,19
Blogger,38,0.12512580694159642,0.5200550796321473,0.5079868421052631,6,1,31
Bloglovin',39,0.13395250871813372,0.46937849187849184,0.2708564102564103,7,13,19
Blood Donor,39,0.20522144852501994,0.36418214831905305,0.29511794871794866,2,11,26
Blood Pressure,39,0.44494301994301994,0.5866809116809117,0.4793282051282051,4,4,31
Blood Pressure Log - MyDiary,40,0.32505491150053645,0.5914018250499501,0.66796,3,2,35
Blood Pressure(BP) Diary,40,0.08768325424575425,0.355830704018204,0.08197499999999999,8,18,14
Bloomberg Professional,40,-0.023352723665223663,0.3632434613997114,0.009385000000000003,11,14,15
Bloomberg: Market & Financial News,40,0.054705447330447333,0.3379659090909091,0.12461249999999999,10,15,15
Blossom Blast Saga,36,0.005714461079044404,0.5138021835417669,0.46656388888888883,19,0,17
BluTV,25,0.28028073593073594,0.4214222943722944,0.26645599999999997,1,8,16
Blur Image Background,11,0.372717803030303,0.643939393939394,0.3529818181818182,1,2,8
Blur Image Background Editor (Blur Photo Editor),39,0.23310994560994563,0.530530303030303,0.2720333333333333,7,6,26
Booking.com Travel Deals,120,0.014176835317460314,0.4009321581196581,0.06638416666666667,27,39,54
Bowmasters,312,0.06141544934739928,0.5005483488208554,0.29128557692307694,119,24,169
Box,117,0.41000050875050875,0.43508648758648755,0.42676153846153847,12,24,81
Boxed Wholesale,40,0.28700849999248434,0.4857461067867318,0.4301425,4,6,30
Boys Photo Editor - Six Pack & Men's Suit,38,0.28350877192982454,0.4792982456140351,0.2291421052631579,5,10,23
Brain Waves - Binaural Beats,40,0.22173148899711398,0.5443468915343915,0.33884250000000005,5,3,32
Branch,40,0.26422979797979795,0.44464553386428385,0.4071175,8,4,28
Brasileirão Pro 2018 - Série A e B,40,0.5508720238095238,0.5441656746031747,0.46919000000000005,3,3,34
"Breaking News, Local news, Attacks and Alerts Free",27,0.21704599412932749,0.37713519333889706,0.3053962962962963,5,8,14
Brightest Flashlight Free ®,5,0.4925714285714286,0.5224523809523809,0.60534,0,0,5
Brightest LED Flashlight,16,0.3741989087301587,0.6228819444444444,0.41845625,1,2,13
Brilliant,28,0.2416548327664399,0.49085035301999586,0.4477142857142857,5,2,21
Brit + Co,16,0.12312466179653678,0.5189175234487734,0.16693125,2,4,10
British Airways,22,0.20510616367759224,0.3991548134405278,0.1234,5,4,13
Browser 4G,34,0.33708361185383245,0.4429032976827094,0.37367058823529414,1,10,23
Bualuang mBanking,34,0.004322019211725096,0.34824705387205385,-0.0018352941176470526,11,12,11
Bubble Shooter,145,0.2536763602776534,0.5156595926423513,0.4106165517241379,40,5,100
Bubble Shooter 2,11,0.28484848484848485,0.5234848484848486,0.3374727272727273,2,1,8
Bubble Shooter Genies,10,0.04798845598845597,0.529732683982684,0.49015000000000003,3,1,6
Bubble Shooter Space,24,0.18493055555555551,0.4974305555555556,0.34189583333333334,7,3,14
Bubble Witch 3 Saga,31,0.06538467779287191,0.5379182096492003,0.5510129032258064,11,1,19
Buienradar - weer,35,0.08678947292786578,0.4887794863866292,0.08475428571428571,10,5,20
Build a Bridge!,86,0.08835631019497298,0.5132795923161372,0.3083104651162791,27,9,50
Bukalapak - Jual Beli Online,31,0.009039564506154375,0.4232744828136533,-0.0967516129032258,15,2,14
BukuBayi - Perkembangan Bayi,26,0.31515734265734263,0.4660052447552448,0.4009807692307692,1,4,21
Burner - Free Phone Number,6,0.06530092592592592,0.6361111111111111,0.5956166666666667,1,0,5
Buscapé - Ofertas e descontos,3,0.4708333333333334,0.485978835978836,0.34990000000000004,0,1,2
Business Calendar 2,25,0.20114111302290014,0.46938575498575497,0.420872,4,3,18
Butterfly Live Wallpaper,28,0.390275974025974,0.503655303030303,0.5177785714285714,0,8,20
